flight_number,dpt_airport_code,dst_airport_code,plane_type,schedule,dpt_time_utc,dst_time_utc
0001,EBBE,LFVP,PA34,M--TFS-,16:22:00,10:33:00
0002,EBBE,EGUB,B733,--W-F-S,21:47:00,22:19:00
0003,EBBE,LATI,A320,---T-SS,17:03:00,19:03:00
0004,EBBE,LEVT,A320,--WTFSS,19:45:00,21:06:00
0005,EBBE,LUBL,A320,----F--,20:56:00,23:07:00
0006,EBBE,EDOP,PAY2,MTW-FS-,18:24:00,19:44:00
0007,EBLG,ESNN,B733,M--T---,17:47:00,19:41:00
0008,EBLG,EDDW,PA34,--W-F-S,21:46:00,23:15:00
0009,EBLG,ETSN,B738,-T--F-S,19:34:00,20:09:00
0010,EBLG,LFSX,A320,MT---SS,20:26:00,20:51:00
0011,EBLG,LHPP,C500,---TF-S,21:11:00,23:31:00
0012,EBLG,LTAI,A320,-T----S,16:45:00,20:00:00
0013,EBLG,ETOU,C500,M-W----,18:21:00,18:49:00
0014,ETIH,EGKB,A320,MT-TF--,18:41:00,19:49:00
0015,ETIH,LFRQ,PA34,M-W-FS-,22:00:00,02:56:00
0016,ETIH,EGXD,PA34,-TW--SS,20:06:00,00:32:00
0017,ETIH,EDAH,B733,MT--F--,16:32:00,17:13:00
0018,LEXJ,EGMC,PAY2,---TF-S,16:42:00,18:59:00
0019,LEXJ,ESOK,PAY2,-T-T--S,21:47:00,02:48:00
0020,LEXJ,ENBO,B733,-TW-FSS,20:38:00,00:15:00
0021,LEXJ,EGBJ,B738,MT-T-S-,18:22:00,19:32:00
0022,LIVO,EDDN,A320,--W-FS-,20:10:00,20:40:00
0023,LIVO,EFET,B738,----FSS,16:45:00,19:49:00
0024,LIVO,LATI,A320,------S,18:54:00,19:52:00
0025,LIVO,LGLM,PA34,M-WTFS-,17:42:00,22:40:00
0026,LIVO,LIRE,PA34,MTWTF-S,20:52:00,23:08:00
0027,LIVO,LFRM,A320,-TW-F-S,21:51:00,23:11:00
0028,EDDS,LFMI,PA34,---TF--,18:11:00,20:57:00
0029,EDDS,LFRJ,A320,MTWTF--,19:51:00,21:07:00
0030,EDDS,LFOE,B733,-T-TF-S,17:26:00,18:11:00
0031,EDDS,LGEL,PA34,--WTFSS,20:44:00,03:36:00
0032,EDDS,ENBR,A320,-T---S-,16:28:00,18:10:00
0033,EDDS,LIPE,B733,-T-T--S,21:34:00,22:11:00
0034,EDDS,LTCS,PAY2,MTW--S-,19:00:00,01:20:00
0035,LGKF,EGXZ,A320,M-W--S-,17:34:00,20:43:00
0036,LGKF,EGPF,C500,M----S-,19:53:00,01:44:00
0037,LGKF,LHDC,B733,MTWT-SS,16:30:00,17:49:00
0038,LGKF,LBBG,B738,MTWTFSS,19:16:00,20:13:00
0039,LGKF,EKRK,C500,----FS-,20:44:00,01:09:00
0040,LGKF,LOWI,B733,M-WTFS-,18:45:00,20:20:00
0041,LGKF,LRBS,B738,-----S-,15:43:00,16:46:00
0042,EDDN,EGPH,PA34,MT--F-S,18:14:00,23:16:00
0043,EDDN,EGPN,B738,MTW-F-S,17:08:00,18:38:00
0044,EDDN,EDVK,C500,MT-TFS-,21:49:00,22:21:00
0045,EDFE,ESTA,PA34,--W-FSS,17:54:00,21:04:00
0046,EDFE,LIBP,B738,------S,22:00:00,23:10:00
0047,EDFE,LIPY,B733,--WTF-S,20:43:00,21:43:00
0048,EDFE,ENMH,B733,---TF--,21:24:00,00:36:00
0049,EDFE,ENFB,PA34,M---FS-,16:22:00,21:00:00
0050,EDFE,LPPT,PA34,-TW-FSS,19:53:00,03:41:00
0051,EDFE,LTFD,PA34,MT--F-S,19:01:00,02:42:00
0052,EDFM,ESTL,PA34,------S,17:28:00,20:48:00
0053,EDFM,LFBH,C500,MT----S,21:58:00,23:44:00
0054,EDFM,LICC,PA34,M--T-S-,19:14:00,01:12:00
0055,EFVA,EDVE,A320,MTW--SS,15:18:00,17:04:00
0056,EFVA,LPFR,B733,-T-TF--,20:53:00,01:19:00
0057,EFVA,EBFS,PA34,M-W---S,16:43:00,00:02:00
0058,EGDM,EGNM,A320,MT-TFS-,21:31:00,21:55:00
0059,EGDM,LZZI,B733,-T-T-S-,22:40:00,00:31:00
0060,EGDM,EDDK,C500,MT--FS-,18:03:00,19:24:00
0061,EGDM,ETSA,PAY2,M-WT-S-,19:25:00,21:43:00
0062,EGDM,EGNH,C500,-TWT--S,20:29:00,21:09:00
0063,EGDM,EDSB,B738,-T-TFSS,18:49:00,19:45:00
0064,EGDM,LTFG,PA34,--WT-S-,17:07:00,06:15:00
0065,EGPA,LKPR,B738,-T-TFS-,19:22:00,21:11:00
0066,EGPA,LIPY,C500,M-WTF-S,21:26:00,01:51:00
0067,EGPA,LRCV,C500,M-W----,17:38:00,22:54:00
0068,EGPA,EHWO,PAY2,--W--S-,20:12:00,22:27:00
0069,EGPA,LTFD,B738,--WTFS-,22:52:00,02:35:00
0070,EGPA,ESNX,PAY2,M--T-SS,18:46:00,21:58:00
0071,EGXE,LTAD,B738,MT--FSS,21:27:00,01:09:00
0072,EGXE,LIVE,B733,MTWTFS-,17:50:00,19:20:00
0073,EGXE,LEBA,B738,M-WTF-S,22:23:00,00:39:00
0074,EGXE,ENHK,A320,M-WT--S,20:26:00,23:12:00
0075,EGXE,ESUT,A320,MT-TF--,22:56:00,00:58:00
0076,EGXE,LKKV,C500,--WT-SS,19:55:00,22:16:00
