code,name,country_name,lat,lon,timezone
AGGH,HONIARA (HENDERSON),Solomon Islands,-9.421666666666667,160.05166666666668,
BGBW,NARSARSUAQ,Denmark,61.160719444444446,-45.425675,
BGGH,NUUK,Denmark,64.19092222222223,-51.678063888888886,
BGJN,ILULISSAT,Denmark,69.24321666666667,-51.057111111111105,
BGKK,KULUSUK,Denmark,65.5736111111111,-37.12361111111111,
BGSF,KANGERLUSSUAQ,Denmark,67.01696944444444,-50.689325,
BGTL,THULE AIR BASE (MIL),Denmark,76.53120555555556,-68.7031638888889,
BIAR,AKUREYRI,Iceland,65.65666666666667,-18.071944444444444,
BIBD,BILDUDALUR,Iceland,65.6413888888889,-23.546111111111113,
BIEG,EGILSSTADIR,Iceland,65.28333333333333,-14.401388888888889,
BIHN,HOFN HORNAFIRDI,Iceland,64.29555555555555,-15.227222222222222,
BIIS,ISAFJORDUR,Iceland,66.05805555555555,-23.135277777777777,
BIKF,KEFLAVIK,Iceland,63.985,-22.605555555555558,
BIRK,REYKJAVIK,Iceland,64.13,-21.940555555555555,
BIVM,VESTMANNAEYJAR,Iceland,63.425,-20.279166666666665,
BKPR,PRISTINA AIRPORT,Kosovo,42.57277777777778,21.035833,Europe/Belgrade
CYAB,ARCTIC BAY,Canada,,,
CYAH,LA GRANDE-4,Canada,,,
CYAM,SAULT STE. MARIE,Canada,,,
CYAS,KANGIRSUK,Canada,,,
CYAY,ST ANTHONY,Canada,,,
CYAZ,TOFINO/LONG BEACH,Canada,,,
CYBB,KUGAARUK,Canada,,,
CYBC,BAIE-COMEAU,Canada,,,
CYBD,BELLA COOLA,Canada,,,
CYBG,BAGOTVILLE,Canada,,,
CYBK,BAKER LAKE,Canada,,,
CYBL,CAMPBELL RIVER,Canada,,,
CYBN,BORDEN,Canada,,,
CYBQ,TADOULE LAKE,Canada,,,
CYBR,BRANDON MUNI,Canada,,,
CYBU,NIPAWIN,Canada,,,
CYBW,CALGARY/SPRINGBANK,Canada,,,
CYBX,LOURDES-DE-BLANC-SABLON,Canada,,,
CYCB,CAMBRIDGE BAY,Canada,,,
CYCD,NANAIMO,Canada,,,
CYCG,CASTLEGAR/WEST KOOTENAY REGIONAL,Canada,,,
CYCK,CHATHAM-KENT,Canada,,,
CYCO,KUGLUKTUK,Canada,,,
CYCP,BLUE RIVER,Canada,,,
CYCQ,CHETWYND,Canada,,,
CYCX,GAGETOWN,Canada,,,
CYCY,CLYDE RIVER,Canada,,,
CYDA,DAWSON CITY,Canada,,,
CYDB,BURWASH,Canada,,,
CYDC,PRINCETON,Canada,,,
CYDF,DEER LAKE,Canada,,,
CYDN,DAUPHIN (LT. COL W.G. (BILLY) BARKER VC),Canada,,,
CYDP,NAIN,Canada,,,
CYDQ,DAWSON CREEK,Canada,,,
CYED,EDMONTON/NAMAO,Canada,,,
CYEG,EDMONTON INTL,Canada,,,
